"","X","영화명","개봉일","매출액","관객수","스크린수","대표국적","배급사","영화명_공백X","영화코드","장르","main_genre"
"476",476,"뽀로로 극장판 슈퍼썰매 대모험",20130123,6819979500,929985,459,"한국","씨제이이앤엠(주)","뽀로로극장판슈퍼썰매대모험",20123681,"애니메이션","애니메이션"
"477",477,"불어라 봄바람",20030904,21601795086,924190,41,"한국","(주)시네마서비스","불어라봄바람",20030132,"코미디","코미디"
"478",478,"영어완전정복",20031105,21458341188,917782,50,"한국","(주)시네마서비스","영어완전정복",20030153,"드라마 코미디","드라마"
"479",479,"크로싱",20080626,5657365667,907255,303,"한국","(주)벤티지홀딩스","크로싱",20080663,"드라마","드라마"
"480",480,"예의없는 것들",20060824,21301136919,904802,52,"한국","롯데쇼핑㈜롯데엔터테인먼트","예의없는것들",20060225,"액션 코미디","액션"
"481",481,"마이 파더",20070906,20925603036,902090,83,"한국","롯데쇼핑㈜롯데엔터테인먼트","마이파더",20070381,"드라마 가족","드라마"
"482",482,"인랑",20180725,6994748173,897548,1085,"한국","워너브러더스 코리아(주)","인랑",20170942,"SF 액션","SF"
"483",483,"누구나 비밀은 있다",20040730,20889358236,896000,50,"한국","(주)시네마서비스","누구나비밀은있다",20040624,"코미디 멜로/로맨스","코미디"
"484",484,"방과후 옥상",20060316,20768700807,891417,44,"한국","(주)시네마서비스","방과후옥상",20060046,"코미디","코미디"
"485",485,"돈 텔 파파",20040903,20628033228,880744,32,"한국","씨제이엔터테인먼트","돈텔파파",20040659,"코미디","코미디"
"486",486,"극장판 헬로카봇 : 백악기 시대",20180801,6589532500,879449,758,"한국","(주)넥스트엔터테인먼트월드(NEW)","극장판헬로카봇:백악기시대",20186501,"애니메이션","애니메이션"
"487",487,"고死 두 번째 이야기: 교생실습",20100728,5901045987,872594,320,"한국","(주)넥스트엔터테인먼트월드(NEW)","고死두번째이야기:교생실습",20100326,"공포(호러) 스릴러","공포(호러)"
"488",488,"킬러들의 수다",20011012,20612780208,871125,NA,"한국","(주)시네마서비스","킬러들의수다",20010015,"코미디","코미디"
"489",489,"체포왕",20110504,6413325500,870887,407,"한국","롯데쇼핑㈜롯데엔터테인먼트","체포왕",20119619,"코미디 액션","코미디"
"490",490,"열한시",20131128,6097792000,870785,512,"한국","씨제이이앤엠(주)","열한시",20124402,"스릴러","스릴러"
"491",491,"미확인 동영상 : 절대클릭금지",20120530,5939840500,867386,361,"한국","(주)쇼박스","미확인동영상:절대클릭금지",20110312,"공포(호러)","공포(호러)"
"492",492,"투캅스",19931218,20471297121,860433,2,"한국",NA,"투캅스",19930041,"코미디 액션 드라마","코미디"
"493",493,"맹부삼천지교",20040326,20227966146,860044,31,"한국","씨제이엔터테인먼트","맹부삼천지교",20040482,"코미디","코미디"
"494",494,"숙명",20080320,5680873500,858215,341,"한국","씨제이엔터테인먼트","숙명",20080226,"드라마 액션","드라마"
"495",495,"무사",20010906,20203146009,857148,NA,"한국",NA,"무사",20010017,"드라마 액션","드라마"
"496",496,"2009로스트메모리즈",20020201,20075005539,856150,59,"한국","씨제이엔터테인먼트","2009로스트메모리즈",20020063,"SF 액션 드라마","SF"
"497",497,"올드미스다이어리",20061221,19906852320,856090,42,"한국","롯데쇼핑㈜롯데엔터테인먼트","올드미스다이어리",20060396,"코미디","코미디"
"498",498,"살인의뢰",20150312,6986456737,855980,646,"한국","씨네그루(주)다우기술","살인의뢰",20148461,"범죄 스릴러","범죄"
"499",499,"좋아해줘",20160217,6572774337,848148,637,"한국","씨제이이앤엠(주)","좋아해줘",20150977,"멜로/로맨스 코미디","멜로/로맨스"
"500",500,"만추",20110217,6300514500,844103,444,"한국","씨제이엔터테인먼트","만추",20198341,"드라마","드라마"
